content_id,name,address,content_type_id,city,lat,lng,image_url,overview,tel,homepage,pet_acmpy_type,pet_acmpy_animal,pet_need,pet_etc_info,pet_facility,open_hours,closed_days,parking
3015170,참샘허브나라,경상남도 밀양시 초동면 방동길 129,12,경상남도,35.452414343774834,128.70527589160244,https://tong.visitkorea.or.kr/cms/resource/69/3533869_image2_1.jpg,"참샘허브나라가 있는 꽃새미마을은 꽃이 샘처럼 피어나라는 의미에서 꽃새미마을로 이름이 붙여졌다. 2005년에 농촌체험마을로 지정받아 다양한 체험활동도 즐길 수 있고, 아름다운 숲은 도시의 높은 빌딩 숲을 떠나 자연과 나무 숲속에서 작은 정원을 돌아보며 힐링할 수 있는 시간을 가져보기 좋은 곳이다. 참샘허브나라에는 다양한 테마의 꽃과 식물로 어우러진 정원이 있고, 허브향 가득한 온실 및 허브 관련 다양한 체험을 할 수 있으며, 맑은 공기와 숲으로 어우러진 휴식 공간을 제공한다.",,https://chamsamherb.com/,전구역 동반가능,전 견종 동반 가능,목줄 착용,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",,09:00~17:00,"매주 월요일※ 강풍 및 우천 시, 안전 상의 이유로 휴장",가능
662268,피나클랜드 수목원,충청남도 아산시 영인면 월선길 20-42,12,충청남도,36.8724691971755,126.926329288305,https://tong.visitkorea.or.kr/cms/resource/25/3485925_image2_1.jpg,"피나클랜드 수목원은 사계절마다 다른 매력을 지닌 13개의 테마정원과 산책길로 이루어져 있다. 봄에는 수선화와 튤립, 여름에는 수국, 가을에는 국화, 겨울에는 눈꽃이 수놓아져 자연의 아름다움을 만끽할 수 있다. 계절에 따라 계절 꽃 축제, 물놀이, 불꽃놀이 등 다양한 행사가 열리며, 화분 체험과 함께 알파카·유산양·사슴·비단잉어 먹이 주기, 스탬프 북 체험도 즐길 수 있다.",,https://pinnacleland.co.kr/,일부구역 동반가능,15kg 미만 중소형견만 입장 가능(맹견 및 대형견 입장 불가),"반려동물 유모차 탑승,이동장(켄넬)사용","반려동물 동반여행지 시범운영 중으로 주중 및 주말 입장 여부 상의(입장 전 문의 필요) / 현재, 여름 비수기는 주중, 주말 모두 입장 가능 / 봄, 가을 축제 기간에는 주중에만 입장 가능 / 이동 시, 이동가방 및 유모차 필수 (사진 촬영 및 배변 시에는 잠시 외출 가능) / 내부 실내 시설 입장 불가 / 야외 좌석 착석은 가능(잔디 진입 불가) / 배변봉투 지참 및 수거 필수",,※ 이용 시기 및 축제 상황에 따라 변동되므로 홈페이지 참조 또는 전화 문의 요망,연중무휴,가능
3018216,강천섬유원지,경기도 여주시 강천면 강천리길 88-60,12,경기도,37.2339,127.6956,https://tong.visitkorea.or.kr/cms/resource/38/3547138_image2_1.jpg,"남한강(여강) 상류에 위치한 강천섬은 가을 은행나무와 봄 목련과 한때 2급 멸종 위기 야생식물인 단양쑥부쟁이 군락이 있는 생태섬이다. 강천섬은 본래 섬이 아니라 장마철이면 물이 불어 섬이 되던 곳으로 4대강 사업을 거치며 육지와 완전히 분리되어 섬이 되었다.
강천섬유원지에 길게 직선으로 펼쳐진 가로수길은 마치 멜로 영화의 주인공이 된 듯한 기분이 들게 한다. 강천섬 곳곳을 이어주는 산책길을 여유롭게 걸어도 좋고, 걷다가 마음에 드는 풍경을 배경으로 앉아 강천섬이 주는 쉼을 느껴도 좋다. 
강천섬유원지에는 다양한 문화 관광 프로그램이 있는 강천섬 힐링센터와 남한강을 조망하며 낭만을 즐길 수 있는 캠핑장이 조성되어 있다. 힐링센터 1층엔 친환경 놀이터가 있어 아이들이 신나게 뛰어놀 수 있고, 2층엔 다양한 프로그램을 운영하는 강의실과 다목적실 등이 있다. 센터 옥상에는 강천섬을 좀 더 높은 곳에서 바라볼 수 있는 정원과 휴게 공간이 있다. 강천섬은 친환경 자연형 캠핑장으로 자연환경 보호를 위해 캠핑장 내 차량 출입이 제한되어 있다. 전기 제공 또한 불가하다. 캠핑장 예약은 홈페이지를 통해 이루어지고 있다.
주차장을 포함한 강천섬 일원에서는 낚시, 야영(숙영), 취사가 금지되어 있다. 단, 주간에 그늘막(텐트 포함) 설치 및 조리된 음식 섭취는 가능하다.",,https://camp.yjcf.or.kr,전구역 동반가능,,목줄 착용,,,[캠핑장]- 입실 14:00- 퇴실 12:00,매주 화요일,가능
3018384,노동 저수지,전북특별자치도 고창군 고창읍 노동로 252,12,전북특별자치도,35.420148522507624,126.70806566473787,https://tong.visitkorea.or.kr/cms/resource/17/3033717_image2_1.jpg,"노동 저수지는 도시 생활권의 훼손되고 방치된 공간을 복원하여 습지, 개울, 초지, 숲 등 다양한 생물서식처를 조성함으로써 도시의 생물 다양성을 증진하면서 시민에게 쾌적한 생태 휴식공간을 제공하기 위해 추진된 고창 자연마당 조성 사업의 일환으로 2016년~2018년에 사업면적 66.11㎡로 조성되었다. 수목원, 유아체험원, 관찰데크, 탐조테크, 숲 체험원, 자연마당데크 등 다양한 공간으로 자연을 느낄 수 있으며 제19회 자연환경대상 공모전에서 대상인 환경부장관상을 수상하였다. 수상길은 저수지 물 위에 떠 있는 데크로 수위 변동에 따라 뜨거나 가라앉는 구조로 되어있어 시작점 도교는 수위가 낮을 때는 경사가 급해진다. 탐방길은 노동수상길 0.44㎞, 자연마당 0.3㎞, 전불길 3.6㎞로 중간에 부위 분수, 조망 다리, 휴게 공간 등이 있어 아름다운 자연과 함께 힐링 산책을 즐길 수 있다.",,,일부구역 동반가능,전 견종 동반 가능,목줄 착용,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",,상시 개방,연중무휴,가능
2758212,병술만어촌체험마을,충청남도 태안군 안면읍 중장리 1655-2,12,충청남도,36.4733211884261,126.344315703056,https://tong.visitkorea.or.kr/cms/resource/46/3572946_image2_1.jpg,"충청남도 태안군 안면읍 중장리에 위치한 병술만어촌체험마을은 안면도의 정중앙부에 위치한 마을이다. 안면송과 병술만해변, 일몰을 감상할 수 있는 수변테크를 가지고 있는 아름다운 어촌마을이다. 2012년 전국 농어촌 체험 마을 경진대회에서 최우수상을 받았으며, 마을에서는 맛조개와 바지락을 캐는 체험을 진행한다. 비용을 지불하면 장화, 호미, 바구니, 장갑을 빌려준다. 마을 인근으로는 11개의 해수욕장이 위치하고 있으며, 안면암과 일몰이 유명하다. 또한 꽃지해수욕장과 안면도자연휴양림이 있어 함께 방문하기 좋다.",,https://cms.seantour.com,일부구역 동반가능,모든 견종 동반 가능,목줄 착용,반려인/비반려인 체험공간 분리운영,세면 / 건조시설,※ 체험 일정에 따라 상이하므로 전화 문의 요망,※ 체험 일정에 따라 상이하므로 전화 문의 요망,가능
3018842,갈멜정원,전라남도 보성군 웅치면 일림로 530-26,12,전라남도,34.70156,127.053593,https://tong.visitkorea.or.kr/cms/resource/14/3018814_image2_1.jpg,"전라남도 민간정원 6호인 갈멜정원은 신의 정원이라는 뜻으로 황무지를 개간하여 1984년부터 갈멜농원을 운영하면서 사슴 사육과 조경수와 녹차를 재배하고 가족들이 좋아하는 나무와 꽃을 직접 가꿨다고 한다. 2,600여 평의 잘 가꾸어진 잔디밭으로 이루어진 아름다운 정원은 사계절이 함께 하는 소나무, 향나무, 미산딸나무 등 정원수가 잘 가꿔져 있고 한반도를 연상하게 하는 연못과 분수대, 새소리, 바람 소리도 아름다운 곳이다.
아름다운 수목과 조형물이 과하지 않아 편안한 마음으로 산책할 수 있다. 경희궁, 덕수궁, 경복궁, 창경궁 등 5대 궁궐의 이름을 딴 독채 펜션이 있어 힐링과 웰빙의 명소로 부상하고 있어 정원의 조경수를 즐기고 편안한 하룻밤을 묵으며 휴식의 시간을 가질 수 있다.",,,일부구역 동반가능,전 견종 동반 가능,목줄 착용,"- 정원 혼잡도에 따라 동반 여부가 상이할 수 있어 방문 전 사전 문의 필수- 카페 내부는 동반 불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",,상시 개방,연중무휴,가능
3035114,죽산수변공원,전라남도 나주시 다시면 영산강자전거길 7549 일원,12,전라남도,34.970736497197706,126.62729322459649,https://tong.visitkorea.or.kr/cms/resource/04/3035104_image2_1.jpg,"죽산보는 영산강에 설치된 보로 나주평야 일대 농업용수 확보 및 홍수와 가뭄을 대비하기 위한 목적으로 설치되었으며 2009년 12월에 착공하여 2011년에 완공되었다. 보의 길이는 184m이고 보의 교각 상부에는 공도교와 관리용 전망대가 설치되어 있다. 죽산보 인근의 죽산수변공원은 가을이면 영산강 양쪽으로 자라는 갈대를 보기 위해서 찾아오는 명소이기도 하며 일몰시간에 와서 휴식을 즐길 수 있는 조용한 힐링 장소이다. 해가 지고 밤이 되면 죽산보의 조명이 켜지며 자전거 체인을 형상화한 곡선이 유려한 죽산보 전망대 건물은 야경 명소로 탈바꿈한다. 죽산수변공원과 자전거길 주변으로 사계절 야생화 꽃길이 조성되어 있어 자전거를 타면서 아름다운 영산강을 온몸으로 느낄 수 있다.
인근에 죽산보오토캠핑장이 있어서 캠핑이 가능하며 죽산보를 건너 강 양옆의 자전거길을 이용할 수 있어 다양한 시각으로 풍광을 즐길 수 있다.",,,일부구역 동반가능,전 견종 동반 가능,,"- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",,상시 개방,연중무휴,가능
2714659,보롬왓,제주특별자치도 서귀포시 번영로 2350-104,12,제주특별자치도,33.4134934171129,126.752493951494,https://tong.visitkorea.or.kr/cms/resource/38/3551438_image2_1.jpg,"보롬왓은 서귀포 표선면에 위치한 농장으로, 바람이 부는 밭이라는 뜻의 제주 방언이다. 밭이라는 명칭이 있는 만큼 청보리, 메밀 등 밭작물을 만날 수 있으며, 튤립, 유채꽃, 수국, 라벤더 등 아름다운 꽃들도 만나볼 수 있다. 꽃뿐만 아니라 닭, 소, 양, 염소 등 다양한 동물도 볼 수 있어 아이들과 함께 방문하기에도 좋다. 보롬왓 농장 내부에 있는 카페는 식물들을 감상하며 차를 마시며 여유를 즐길 수 있다.",,https://www.instagram.com/boromwat_/,전구역 동반가능,6kg 이하 동반 가능,목줄 착용,배변봉투 지참 및 배변처리 필수,,09:00~18:00,연중무휴,가능 요금 (무료)
2718736,코리아플라워파크,충청남도 태안군 안면읍 꽃지해안로 400,12,충청남도,36.501131590395,126.336790699792,https://tong.visitkorea.or.kr/cms/resource/67/3090767_image2_1.jpg,"코리아플라워파크는 태안의 아름다운 낙조를 품은 꽃지 해수욕장에 위치해 있다. 항상 꽃을 볼 수 있는 하훼 테마공원으로 튤립, 여름꽃, 가을꽃들을 전시하며 겨울을 제외한 계절별로 운영을 하고 있다. 공원 내에는 색깔, 모양, 이름도 제각각인 전 세계 꽃들을 한눈에 볼 수 있도록 조성했다. 2006년부터 쌓아온 꽃 축제 관련 기술, 서비스 등의 노하우를 바탕으로 관람객들에게 안락함과 편안함을 물론 아름다운 추억을 만들어준다. 

(출처 : 코리아플라워파크 홈페이지)",,https://www.koreaflowerpark.com/,전구역 동반가능,,목줄 착용,"- 네이처월드로 장소이동 개최- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",산책로,- 09:00~18:00- 입장마감 17:00,행사 기간에만 운영,"가능 (승용 2,667대 / 버스 150대)"
127644,울산대공원,울산광역시 남구 대공원로 94 (옥동),12,울산광역시,35.53165662544364,129.29351903251052,https://tong.visitkorea.or.kr/cms/resource/24/3072324_image2_1.jpg,"1960년 이후 중화학공업을 위주로 한 공업도시로서 울산의 이미지는 ‘성장’이라는 긍정적인 면이 있지만 공해도시 그리고 삶의 질이 열악한 도시라는 부정적인 측면이 더 부각되기 시작하였고, 이러한 상황 속에서 청정제 역할을 할 공원이 절실히 요구되었다. 이에 따라 1986년부터 울산광역시는 남구 공업탑 로터리 주변 신정동과 옥동 일대 364만여㎡의 부지를 매입ㆍ제공하였고, SK주식회사는 1996년부터 10년 동안 울산대공원 시설을 조성한 후 이를 울산광역시에 무상 기부하였다.
이렇게 설립된 울산 대공원은 시민 삶의 질 향상에 기여함은 물론, 도시의 균형적 성장의 시작점이 되고 있으며, 산업도시 울산이 산업과 자연이 조화를 이루는 도시로 전환하는 기폭제가 되었다. 울산대공원은 시민들이 이용하기 편리하며, 풍부한 산업환경과 울산의 문화를 그대로 느낄 수 있도록 설계되었다. 남녀노소 다양한 계층을 위한 체험의 장이자 문화와 휴식의 공간이며, 공원의 효율적인 관리를 통하여 생동감 넘치는 다양한 프로그램을 진행한다. 주민들에게 부담 없이, 지속적해서 방문할 수 있는 공간이 되고자 자연생태에 관한 교육 및 체험 학습도 제공하고 있다.",,http://www.uic.or.kr/ulsanpark/,일부구역 동반가능,전 견종 동반 가능,목줄 착용,"- 산책만가능, 시설이용은 동반불가- 맹견의 경우, 입마개 착용 필수- 배변봉투 지참 및 배변처리 필수",,05:00~23:00※ 일몰 이후 안전사고 예방을 위해 자전거 출입 제한,매주 월요일 휴무※ 성수기(6~9월) 탄력적 운영,가능
